,raw_hz,peak_id,line_width,integral,file_path,raw_Al_concentration,raw_Li_concentration,raw_Na_concentration,raw_AlNO3_concentration,degrees_celsius,Hz,Mat_Source,raw_mg,scan_count,nmr_element,ppm
36887,14706.0,10.0,4.7400594214414795,4071409920.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/27Al-5th-2691Hz-110C-600ctF.ft,0.15,,3.0,,110,2691,,,600,27Al,-20.905882352941177
36972,15148.0,3.0,59.0,35087112.0,0808G1-0p5M-AlOH3-3M-NaOH-D2O/27Al-2713Hz-25C-3rd-128ct.ft,0.5,,3.0,,25,2713,,,128,27Al,-15.705882352941176
37736,14710.0,750.0,5.883933152704245,27843573760.0,0808G1-0p5M-AlOH3-3M-NaOH-D2O/27Al-2745Hz-25C-11th-3700ct.ft,0.5,,3.0,,25,2745,,,3700,27Al,-20.858823529411765
39079,16303.0,35.0,310.2098659924875,4107616000.0,standard/27Al-0819G1-gibbsite-18p7mg-4012Hz-25C-512ct.ft,,,,,25,4012,0819G1-gibbsite,18.7,512,27Al,-2.1176470588235294
39121,14707.0,20.0,4.774629301337612,4693089280.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/27Al-5th-2720Hz-80C-600ct.ft,0.15,,3.0,,80,2720,,,600,27Al,-20.894117647058824
39185,14709.0,29.0,5.289524161322078,5430731776.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/27Al-5th-2762Hz-40C-600ct.ft,0.15,,3.0,,40,2762,,,600,27Al,-20.870588235294118
39273,14708.0,34.0,5.274926396490443,5365579264.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/27Al-5th-2752Hz-50C-600ctF.ft,0.15,,3.0,,50,2752,,,600,27Al,-20.88235294117647
39338,16298.0,23.0,196.99453632694804,8412777984.0,standard/27Al-5-10nm-boehmite-54p8mg-4045Hz-25C-280ct.ft,,,,,25,4045,boehmite,54.8,280,27Al,-2.176470588235294
39443,14705.0,11.0,4.78196478687898,4023000320.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/27Al-5th-2681Hz-120C-600ctF.ft,0.15,,3.0,,120,2681,,,600,27Al,-20.917647058823526
39494,14707.0,37.0,5.080925014268757,4959741952.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/27Al-5th-2732Hz-70C-600ctF.ft,0.15,,3.0,,70,2732,,,600,27Al,-20.894117647058824
39535,15149.0,3.0,49.0,29039386.0,0808G1-0p5M-AlOH3-3M-NaOH-D2O/27Al-2713Hz-25C-4th-128ctF.ft,0.5,,3.0,,25,2713,,,128,27Al,-15.694117647058825
39566,14706.0,14.0,4.684255918092319,4307896832.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/27Al-5th-2700Hz-100C-600ctF.ft,0.15,,3.0,,100,2700,,,600,27Al,-20.905882352941177
39706,14707.0,110.0,7.444968874188305,58643419136.0,0808G1-1M-AlOH3-3M-NaOH-D2O/27Al-7th-2750Hz-25C-3640ct.ft,1.0,,3.0,,25,2750,,,3640,27Al,-20.894117647058824
39712,14705.0,3.0,5.418214043395423,6721216512.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/27Al-concentrated-Gibbsite-2735Hz-130C-128ctF.ft,0.15,,3.0,,130,2735,Gibbsite,,128,27Al,-20.917647058823526
39845,14705.0,11.0,4.78196478687898,4023000320.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/27Al-5th-2681Hz-120C-600ct.ft,0.15,,3.0,,120,2681,,,600,27Al,-20.917647058823526
40028,15158.0,162.0,34.0,35216924.0,0808G1-0p5M-AlOH3-3M-NaOH-D2O/27Al-without-liquid-2845Hz-25C-14th-9880ct.ft,0.5,,3.0,,25,2845,,,9880,27Al,-15.588235294117647
